1751,chi,1.22	
1751,nu,3.38	
1752,chi,2.67	
1752,nu,3.31	
1753,chi,1.33	
1753,haw,2.0	
1753,nu,3.22	
1754,chi,2.32	
1754,nu,3.48	
1755,chi,1.0	
1755,haw,1.33	
1755,nu,3.63	
1756,chi,1.2	
1756,nu,2.66	
1757,chi,1.44	
1757,nu,3.26	
1758,chi,1.09	
1758,nu,3.24	
1759,chi,1.2	
1759,haw,1.0	
1759,nu,3.54	
1760,chi,1.0	
1760,haw,2.5	
1760,nu,3.41	
1761,chi,1.17	
1761,nu,3.49	
1762,chi,1.21	
1762,nu,2.5	
1763,chi,1.48	
1763,nu,3.03	
1764,chi,1.09	
1764,haw,1.0	
1764,nu,3.37	
1765,chi,1.92	
1765,nu,3.63	
1766,chi,1.92	
1766,nu,3.64	
1767,chi,1.5	
1767,haw,1.0	
1767,nu,3.42	
1768,chi,1.5	
1768,nu,4.55	
1769,chi,1.4	
1769,haw,1.0	
1769,nu,3.72	
1770,chi,1.35	
1770,haw,1.0	
1770,nu,3.21	
1771,chi,1.17	
1771,nu,3.64	
1772,chi,1.78	
1772,nu,3.01	
1773,chi,1.88	
1773,nu,3.33	
1774,chi,1.52	
1774,nu,3.52	
1775,chi,1.54	
1775,nu,3.8	
1776,chi,1.52	
1776,haw,1.0	
1776,nu,3.85	
1777,chi,1.85	
1777,nu,3.56	
1778,chi,1.61	
1778,nu,3.56	
1779,chi,1.1	
1779,nu,3.16	
1780,chi,1.09	
1780,haw,1.5	
1780,nu,3.58	
1781,chi,1.38	
1781,nu,3.78	
1782,chi,1.59	
1782,haw,1.0	
1782,nu,3.64	
1783,chi,1.11	
1783,nu,3.72	
1784,chi,1.43	
1784,haw,1.67	
1784,nu,3.53	
1785,chi,1.39	
1785,haw,3.0	
1785,nu,3.38	
1786,chi,1.59	
1786,haw,1.0	
1786,nu,3.9	
1787,chi,2.0	
1787,nu,4.55	
1788,chi,1.93	
1788,nu,4.84	
1789,chi,1.68	
1789,haw,2.0	
1789,nu,4.18	
1790,chi,1.28	
1790,nu,4.06	
1791,chi,2.0	
1791,haw,3.0	
1791,nu,4.61	
1792,chi,1.48	
1792,haw,1.0	
1792,nu,4.48	
1793,chi,1.73	
1793,haw,1.0	
1793,nu,4.33	
1794,chi,2.3	
1794,haw,2.0	
1794,nu,4.12	
1795,chi,1.25	
1795,haw,1.33	
1795,nu,4.11	
1796,chi,1.48	
1796,haw,1.0	
1796,nu,4.57	
1797,chi,1.74	
1797,nu,3.98	
1798,chi,1.73	
1798,haw,1.0	
1798,nu,4.17	
1799,chi,1.65	
1799,haw,1.0	
1799,nu,4.74	
1800,chi,1.56	
1800,haw,1.0	
1800,nu,4.7	
1801,chi,1.49	
1801,haw,1.0	
1801,nu,5.41	
1802,chi,1.66	
1802,haw,1.0	
1802,nu,5.36	
1803,chi,1.91	
1803,haw,1.0	
1803,nu,5.4	
1804,chi,1.83	
1804,nu,5.92	
1805,chi,1.9	
1805,haw,1.0	
1805,nu,4.79	
1806,chi,2.2	
1806,haw,1.5	
1806,nu,5.97	
1807,chi,2.04	
1807,haw,1.0	
1807,nu,6.24	
1808,chi,2.06	
1808,haw,1.6	
1808,nu,5.72	
1809,chi,2.04	
1809,haw,1.67	
1809,nu,5.52	
1810,chi,1.55	
1810,haw,1.91	
1810,nu,5.94	
1811,chi,3.03	
1811,haw,1.31	
1811,nu,6.39	
1812,chi,2.26	
1812,haw,2.56	
1812,nu,5.01	
1813,chi,1.82	
1813,haw,1.2	
1813,nu,5.31	
1814,chi,2.77	
1814,haw,2.26	
1814,nu,5.72	
1815,chi,2.16	
1815,haw,2.0	
1815,nu,5.63	
1816,chi,2.56	
1816,haw,2.71	
1816,nu,6.11	
1817,chi,2.89	
1817,haw,1.5	
1817,nu,6.24	
1818,chi,2.6	
1818,haw,3.8	
1818,nu,5.7	
1819,chi,2.47	
1819,haw,2.14	
1819,nu,5.6	
1820,chi,2.83	
1820,haw,1.2	
1820,nu,6.09	
1821,chi,2.72	
1821,haw,5.25	
1821,nu,6.33	
1822,chi,2.37	
1822,haw,1.75	
1822,nu,6.79	
1823,chi,2.38	
1823,haw,1.54	
1823,nu,6.34	
1824,chi,3.25	
1824,haw,3.78	
1824,nu,6.49	
1825,chi,3.03	
1825,haw,1.38	
1825,nu,7.06	
1826,chi,2.65	
1826,haw,2.6	
1826,nu,6.55	
1827,chi,2.95	
1827,haw,1.25	
1827,nu,6.9	
1828,chi,3.12	
1828,haw,1.43	
1828,nu,6.8	
1829,chi,3.34	
1829,haw,2.56	
1829,nu,7.28	
1830,chi,3.02	
1830,haw,3.07	
1830,nu,6.89	
1831,chi,3.17	
1831,haw,1.73	
1831,nu,6.04	
1832,chi,3.72	
1832,haw,2.1	
1832,nu,5.85	
1833,chi,2.5	
1833,haw,2.64	
1833,nu,6.85	
1834,chi,3.14	
1834,haw,2.31	
1834,nu,6.27	
1835,chi,3.99	
1835,haw,2.0	
1835,nu,6.54	
1836,chi,2.88	
1836,haw,2.05	
1836,nu,7.05	
1837,chi,3.1	
1837,haw,2.05	
1837,nu,7.26	
1838,chi,3.76	
1838,haw,1.43	
1838,nu,7.23	
1839,chi,3.33	
1839,haw,2.48	
1839,nu,6.55	
1840,chi,3.16	
1840,haw,2.07	
1840,nu,7.47	
1841,chi,3.83	
1841,haw,3.0	
1841,nu,6.96	
1842,chi,3.4	
1842,haw,2.07	
1842,nu,6.66	
1843,chi,2.94	
1843,haw,2.31	
1843,nu,6.86	
1844,chi,2.99	
1844,haw,2.49	
1844,nu,6.98	
1845,chi,2.9	
1845,haw,2.72	
1845,nu,7.4	
1846,chi,3.76	
1846,haw,3.1	
1846,nu,7.21	
1847,chi,3.79	
1847,haw,1.84	
1847,nu,6.48	
1848,chi,3.34	
1848,haw,2.53	
1848,nu,7.11	
1849,chi,3.12	
1849,haw,2.27	
1849,nu,7.46	
1850,chi,3.11	
1850,haw,3.21	
1850,nu,6.73	
1851,chi,3.7	
1851,haw,2.16	
1851,nu,7.53	
1852,chi,3.48	
1852,haw,3.09	
1852,nu,7.24	
1853,chi,3.87	
1853,haw,3.29	
1853,nu,8.55	
1854,chi,4.34	
1854,haw,2.34	
1854,nu,7.8	
1855,chi,3.81	
1855,haw,2.5	
1855,nu,7.61	
1856,chi,3.93	
1856,haw,2.61	
1856,nu,7.69	
1857,chi,3.81	
1857,haw,2.59	
1857,nu,6.67	
1858,chi,3.88	
1858,haw,1.61	
1858,nu,7.64	
1859,chi,3.71	
1859,haw,2.12	
1859,nu,7.42	
1860,chi,3.64	
1860,haw,1.87	
1860,nu,7.39	
1861,chi,3.68	
1861,haw,1.16	
1861,nu,7.35	
1862,chi,3.16	
1862,haw,1.96	
1862,nu,6.92	
1863,chi,3.33	
1863,haw,1.71	
1863,nu,7.29	
1864,chi,3.61	
1864,haw,2.34	
1864,nu,7.3	
1865,chi,3.74	
1865,haw,2.67	
1865,nu,7.19	
1866,chi,3.58	
1866,haw,2.19	
1866,nu,7.2	
1867,chi,3.28	
1867,haw,1.32	
1867,nu,6.94	
1868,chi,3.56	
1868,haw,1.66	
1868,nu,6.93	
1869,chi,3.36	
1869,haw,1.52	
1869,nu,7.04	
1870,chi,3.62	
1870,haw,2.88	
1870,nu,6.44	
1871,chi,3.59	
1871,haw,1.5	
1871,nu,6.92	
1872,chi,3.44	
1872,haw,2.25	
1872,nu,7.28	
1873,chi,3.0	
1873,haw,1.59	
1873,nu,7.24	
1874,chi,3.8	
1874,haw,1.98	
1874,nu,7.61	
1875,chi,3.54	
1875,haw,1.7	
1875,nu,7.65	
1876,chi,3.65	
1876,haw,2.59	
1876,nu,7.55	
1877,chi,3.74	
1877,haw,1.88	
1877,nu,7.97	
1878,chi,3.36	
1878,haw,2.02	
1878,nu,7.27	
1879,chi,3.23	
1879,haw,1.88	
1879,nu,7.96	
1880,chi,3.59	
1880,haw,2.0	
1880,nu,8.0	
1881,chi,3.25	
1881,haw,1.91	
1881,nu,8.12	
1882,chi,3.45	
1882,haw,1.59	
1882,nu,8.06	
1883,chi,4.24	
1883,haw,2.67	
1883,nu,8.65	
1884,chi,3.33	
1884,haw,2.29	
1884,nu,8.14	
1885,chi,3.73	
1885,haw,2.24	
1885,nu,8.09	
1886,chi,3.61	
1886,haw,1.96	
1886,nu,7.58	
1887,chi,3.61	
1887,haw,2.7	
1887,nu,8.14	
1888,chi,3.75	
1888,haw,1.59	
1888,nu,7.68	
1889,chi,3.7	
1889,haw,2.46	
1889,nu,7.81	
1890,chi,3.49	
1890,haw,2.39	
1890,nu,8.02	
1891,chi,3.52	
1891,haw,2.67	
1891,nu,7.86	
1892,chi,3.91	
1892,haw,2.76	
1892,nu,8.42	
1893,chi,3.24	
1893,haw,2.52	
1893,nu,8.04	
1894,chi,3.49	
1894,haw,2.05	
1894,nu,8.24	
1895,chi,3.67	
1895,haw,3.04	
1895,nu,8.14	
1896,chi,3.82	
1896,haw,3.26	
1896,nu,8.46	
1897,chi,3.66	
1897,haw,3.32	
1897,nu,8.56	
1898,chi,3.73	
1898,haw,3.34	
1898,nu,8.57	
1899,chi,4.52	
1899,haw,3.79	
1899,nu,9.19	
1900,chi,4.49	
1900,haw,3.86	
